,default,min_abs_bias,min_rmsd,observation
0.5,19.716,20.926,20.333,15.505
1.5,19.612,20.093,19.399,14.978
2.5,18.576,19.101,18.248,14.749
3.5,18.229,14.074,16.139,14.579
4.5,18.021,7.357,13.67,14.353
5.5,17.821,5.612,11.731,14.101
6.5,17.482,4.944,10.309,13.74
7.5,16.862,4.555,9.273,13.154
8.5,15.729,4.301,8.507,10.249
9.5,14.827,4.152,7.927,8.258
10.5,14.099,4.073,7.48,7.076
11.5,13.511,4.033,7.127,6.689
12.5,13.033,4.015,6.844,6.514
13.5,12.639,4.006,6.612,6.442
14.5,12.315,4.003,6.42,6.417
15.5,12.046,4.001,6.243,6.362
16.5,11.823,4.0,6.08,6.365
17.5,11.638,4.0,5.931,6.417
