"","cat","lake_id","vatn_lnr","bogs"
"0",1,122384,23386,0
"1",1,124687,10127,0
"2",1,130502,10926,0.00713031657944522
"3",1,139670,14367,0
"4",1,198487,40322,0
"5",1,158976,31047,0
"6",1,112421,11292,0
"7",1,186692,806,0
"8",1,147714,50879,0
"9",1,130934,14534,0
"10",1,187899,11078,0.173066716521552
"11",1,132237,40844,0.161516684973558
"12",1,128285,69,0
"13",1,192934,2456,0
"14",1,177997,64193,0
"15",1,109878,23328,0
"16",1,168049,34660,0
"17",1,152839,1651,0
"18",1,147884,2474,0
"19",1,124775,1373,0
"20",1,110077,22548,0.0318206190971204
"21",1,202308,2430,0
"22",1,118606,11373,0.0766393722017512
"23",1,126915,64278,0
"24",2,195333,1935,0.0552121541426474
"25",1,149243,13194,0
"26",2,198457,36727,0
"27",1,198455,36780,0
"28",1,109293,1545,0
"29",1,120057,28197,0
"30",1,117273,716,0
"31",1,109741,15100,0.0110839749034487
"32",1,177402,31186,0
"33",1,136580,11095,0.000637572058167431
"34",1,197732,22101,0
"35",1,194966,26267,0
"36",1,144377,48048,0
"37",1,187998,21049,0
"38",1,131168,1094,0
"39",1,125109,14277,0
"40",1,191579,5269,0
"41",1,166798,21797,0
"42",1,199123,64217,0
"43",2,186775,45724,0.0680791847982412
"44",1,149368,5961,0.133928410302854
"45",1,187262,2437,0
"46",1,179093,1174,0
"47",2,145746,1431,0
"48",1,171423,36436,0
"49",1,128154,5742,0.15439253538554
"50",1,145545,9534,0
"51",1,176888,7272,0.0999888720032252
"52",1,145599,13592,0
"53",1,181137,64713,0.31213208080262
"54",1,187147,64799,0
"55",1,133674,331,0.0195154588913855
"56",1,169726,11592,0
"57",1,196118,63664,0
"58",3,124884,15177,0
"59",2,124536,21438,0
"60",1,121724,10305,0
"61",1,148617,11147,0.191439567662711
"62",1,145756,21186,0
"63",1,127861,3555,0
"64",1,110571,26511,0
"65",1,189772,1001,1.22198549180626e-05
"66",1,126907,64684,0.000633692490610289
"67",1,130617,5828,0
"68",1,124809,9219,0
"69",1,131882,282,0.317434660380141
"70",1,119584,281,0.250097198432972
"71",1,17716,368,0.227565150385958
"72",1,149668,3838,0.236163960523347
"73",1,176233,5844,0.0845514131091826
"74",1,14250,3238,0
"75",1,123025,35326,0.0052660995415719
"76",1,170566,5114,0
"77",1,143285,3259,0.048946210530956
